RowID,SourceFile,Scenario,Label,AttackFamily,BinaryLabel,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Flow ID,Source IP,Source Port,Destination IP,Context Destination Port,Protocol,Timestamp
238002,Wednesday-workingHours.pcap_ISCX.csv,wednesday-workinghours,DoS Hulk,DoS,1,80.0,9.999774e+07,7.0,8.0,352.0,11595.0,328.0,0.0,50.285713,122.49315,5792.0,0.0,1449.375,2046.6735,119.472694,0.15000339,7.142696e+06,2.67e+07,9.98e+07,1.0,9.99e+07,1.66e+07,4.08e+07,9.98e+07,1.0,1e+08,1.43e+07,3.77e+07,9.99e+07,1.0,0.0,0.0,0.0,0.0,184.0,264.0,0.07000158,0.08000181,0.0,5792.0,747.0625,1577.0381,2.487049e+06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,796.86664,50.285713,1449.375,0.0,0.0,0.0,0.0,0.0,0.0,7.0,352.0,8.0,11595.0,0.0,235.0,4.0,20.0,13994.0,0.0,13994.0,13994.0,9.98e+07,0.0,9.98e+07,9.98e+07,172.16.0.1-192.168.10.50-58130-80-6,172.16.0.1,58130.0,192.168.10.50,80.0,6.0,5/7/2017 10:54
106661,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,friday-workinghours-afternoon-portscan,PortScan,Port Scan,1,587.0,28.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,285714.28,71428.57,28.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,35714.285,35714.285,2.0,6.0,3.3333333,2.309401,5.3333335,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-52332-587-6,172.16.0.1,52332.0,192.168.10.50,587.0,6.0,7/7/2017 2:52
46875,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,thursday-workinghours-morning-webattacks,Web Attack - Brute Force,Web Attack,1,80.0,5.95017e+06,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722497,1.98339e+06,3.434559e+06,5.949277e+06,174.0,5.95017e+06,2.975085e+06,4.2061425e+06,5.949277e+06,893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.5041873,0.16806242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-39252-80-6,172.16.0.1,39252.0,192.168.10.50,80.0,6.0,6/7/2017 9:46
328501,Monday-WorkingHours.pcap_ISCX.csv,monday-workinghours,BENIGN,BENIGN,0,80.0,245376.0,3.0,4.0,318.0,703.0,318.0,0.0,106.0,183.59738,703.0,0.0,175.75,351.5,4160.961,28.527647,40896.0,62636.312,121779.0,4.0,122863.0,61431.5,85423.445,121835.0,1028.0,123597.0,41199.0,70686.91,122820.0,4.0,0.0,0.0,0.0,0.0,104.0,136.0,12.226134,16.301514,0.0,703.0,127.625,257.74515,66432.555,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,145.85715,106.0,175.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,318.0,4.0,703.0,29200.0,122.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.10.12-194.232.104.108-41416-80-6,192.168.10.12,41416.0,194.232.104.108,80.0,6.0,03/07/2017 04:49:17
29904,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,thursday-workinghours-morning-webattacks,Web Attack - Brute Force,Web Attack,1,80.0,5.495979e+06,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72780484,1.831993e+06,3.172355e+06,5.495113e+06,86.0,5.495979e+06,2.7479895e+06,3.8850192e+06,5.495113e+06,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.5458536,0.18195121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-53888-80-6,172.16.0.1,53888.0,192.168.10.50,80.0,6.0,6/7/2017 9:31
23164,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,thursday-workinghours-morning-webattacks,Web Attack - Brute Force,Web Attack,1,80.0,8.827875e+06,4.0,4.0,602.0,364.0,602.0,0.0,150.5,301.0,364.0,0.0,91.0,182.0,109.42611,0.9062204,1.261125e+06,2.1789108e+06,5.002587e+06,106.0,3.825288e+06,1.275096e+06,2.2040285e+06,3.820088e+06,867.0,8.827744e+06,2.9425812e+06,2.612972e+06,5.003207e+06,3607.0,0.0,0.0,0.0,0.0,136.0,136.0,0.4531102,0.4531102,0.0,602.0,107.333336,221.13797,48902.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,120.75,150.5,91.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,602.0,4.0,364.0,29200.0,236.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-48304-80-6,172.16.0.1,48304.0,192.168.10.50,80.0,6.0,6/7/2017 9:25
398261,Monday-WorkingHours.pcap_ISCX.csv,monday-workinghours,BENIGN,BENIGN,0,64468.0,52847.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.76765,26423.5,37311.902,52807.0,40.0,52847.0,52847.0,0.0,52847.0,52847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,32.0,37.8451,18.92255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,357.0,32832.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.10.25-35.186.227.40-64468-443-6,35.186.227.40,443.0,192.168.10.25,64468.0,6.0,03/07/2017 11:52:59
384549,Tuesday-WorkingHours.pcap_ISCX.csv,tuesday-workinghours,BENIGN,BENIGN,0,53.0,32897.0,2.0,2.0,76.0,200.0,38.0,38.0,38.0,0.0,100.0,100.0,100.0,0.0,8389.823,121.59164,10965.667,18989.627,32893.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,80.0,60.79582,60.79582,38.0,100.0,62.8,33.958797,1153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.5,38.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,2.0,200.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.10.3-192.168.10.12-53-57008-17,192.168.10.12,57008.0,192.168.10.3,53.0,17.0,4/7/2017 11:54
65448,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,friday-workinghours-afternoon-ddos,DDoS,DDoS,1,80.0,79011.0,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,379.69397,63.28233,19752.75,36775.914,74882.0,4.0,79011.0,19752.75,36775.914,74882.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,63.28233,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-57960-80-6,172.16.0.1,57960.0,192.168.10.50,80.0,6.0,7/7/2017 4:01
43980,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,thursday-workinghours-morning-webattacks,Web Attack - Brute Force,Web Attack,1,80.0,103.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19417.477,103.0,0.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,9708.738,9708.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,237.0,236.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.16.0.1-192.168.10.50-36052-80-6,172.16.0.1,36052.0,192.168.10.50,80.0,6.0,6/7/2017 9:43
